Time Code,Country Name,Country Code,GDP (constant 2010 US$) [NY.GDP.MKTP.KD],GDP (current LCU) [NY.GDP.MKTP.CN],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],GDP per capita (current US$) [NY.GDP.PCAP.CD],"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP (constant LCU) [NY.GDP.MKTP.KN],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],GDP per capita (current LCU) [NY.GDP.PCAP.CN],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (constant 2017 international $) [NY.GDP.MKTP.PP.KD]",Gini index (World Bank estimate) [SI.POV.GINI]
YR2016,Afghanistan,AFG,20206376460.4766,1222916881100,2.26031420130452,34562.2449582325,509.220100485356,2057.06797755329,70097956089.2877,1222916881100,18017749073.6362,571.075388473724,34562.2449582325,-0.541416195952564,1981.11806850696,72785293847.6716,..
YR2016,Albania,ALB,13465406059.6498,1472479120000,3.31480475341897,486613.6029298,4124.05572595352,12291.8733773928,34739850853.7913,1399549870000,11861200797.4706,4681.82656299266,511970.587959185,3.48011700478818,12078.8007284137,35352669312.5928,33.7
YR2016,Algeria,DZA,195870741719.38,17514634900000,3.20000000006691,456473.253097218,3946.45242459305,11826.1664161029,471383266569.55,18510628562700,160034162957.738,4830.18468856191,431911.98734998,1.10457015569865,11624.3407087852,479567581153.623,..
YR2016,American Samoa,ASM,551587443.946188,671000000,-1.67938931297709,11553.8491899747,12038.2496994923,..,..,644000000,671000000,9895.89773670479,12038.2496994923,-1.56120490141551,..,..,..
YR2016,Andorra,AND,3409412700.51704,2616860000,3.70967806978986,33271.4923345624,37475.6350587526,..,..,2571720000,2896679211.86628,44109.0976197301,33855.4887120771,4.64621154922207,..,..,..
YR2016,Angola,AGO,101822929058.742,16549565423600,-2.58004964404932,54851.7981219508,3506.07312818832,7568.99816818809,204874680466.819,1582062000000,101123851090.455,3530.31091633315,573791.306296039,-5.81618754909985,7103.22643061091,218308693423.998,..
YR2016,Antigua and Barbuda,ATG,1315622165.26087,3878780000,5.49778845610642,33587.0715192552,15198.7429664112,19419.58079882,1882863521.88954,3174650000,1436585185.18519,13918.9818584519,41036.6060093102,4.43856923007127,19920.2657838504,1835538777.10446,..
YR2016,Argentina,ARG,446342760088.163,8228159556500,-2.08032784377811,16207.200833909,12790.2424732447,23189.5274451329,885227528869.049,706477848600,557531376217.967,10239.4813479933,188760.95646864,-3.11006389821465,20307.870052142,1010840035079.44,42
YR2016,Armenia,ARM,11501998665.0519,5067293500000,0.199999999825991,1608042.15602965,3591.82805221639,11303.0678498177,31429192104.4042,4721448152300,10546135160.031,3917.37834142906,1725830.99551896,-0.161329865469654,10704.2297624759,33187468758.0387,32.5
YR2016,Aruba,ABW,2750900229.65302,5340710000,2.09999958566985,34073.4906784914,28452.1706146796,38314.8060318881,3941353654.93151,3573116600,2983636871.50838,26232.7776632148,50929.3854002765,1.58786875286513,37585.0250792115,4017882134.53394,..
